CASEID,REGION,METRO,MSASIZE,HH_SIZE,FAMINCOME,HH_NUMKIDS,HOUSETYPE,AGEYCHILD,HH_NUMADULTS,AGE,SEX,RACE,HISPAN,GENHEALTH,BMI,EDUC,EDUCYRS,SCHLCOLL,FULLPART,UHRSWORKT,HH_NUMOWNKIDS,PED,SED_EAT,FOODSHOP,SODA,STORE,EXFREQ,FASTFDFREQ,ENOUGHFD,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
2.01E+13,1,3,2,2,15,0,1,NA,2,47,1,131,100,2,28.2,40,216,1,1,45,0,95,0,1,NA,2,2,NA,1,0,9,0,95,135,5,0,495,0,0,0,496
2.01E+13,3,3,3,5,15,2,1,13,3,16,2,100,100,2,19.8,15,110,3,NA,NA,0,130,30,2,1,NA,1,NA,1,0,1,0,130,5,0,0,372,210,0,0,600
2.01E+13,3,1,3,1,4,0,1,NA,1,74,2,110,100,3,21.5,20,112,NA,NA,NA,0,20,0,2,2,NA,NA,NA,1,0,0,0,20,0,0,0,730,0,0,0,570
2.01E+13,3,1,5,1,4,0,1,NA,1,70,1,100,100,2,21.2,40,317,NA,NA,NA,0,130,0,1,NA,1,7,NA,1,0,0,0,130,40,30,0,320,0,0,0,600
2.01E+13,2,2,6,2,16,0,1,NA,2,64,1,131,100,2,27.1,41,318,NA,NA,NA,0,105,0,3,NA,1,3,NA,1,0,540,0,105,0,0,0,100,0,0,0,690
2.01E+13,3,4,0,1,14,0,1,NA,1,69,1,100,210,2,30.6,43,321,NA,1,45,0,85,0,1,2,2,5,1,1,0,0,0,85,25,10,0,248,0,0,460,445
2.01E+13,3,4,0,2,4,0,1,NA,2,56,2,100,100,1,31.6,40,216,NA,NA,NA,0,30,4,2,2,NA,4,NA,1,30,0,0,30,60,0,0,660,150,0,0,420
2.01E+13,1,1,4,1,11,0,1,NA,1,28,2,202,100,2,18.3,41,318,1,1,38,0,145,0,1,2,1,2,4,1,0,0,0,145,82,0,0,120,0,0,450,440
2.01E+13,4,1,6,1,1,0,1,NA,1,55,2,100,100,3,26.5,40,216,NA,2,10,0,60,5,1,NA,1,5,NA,1,0,0,0,60,15,0,0,235,0,60,240,540
2.01E+13,1,4,0,1,8,0,1,NA,1,66,2,100,100,2,24.2,21,112,NA,1,40,0,15,0,1,1,1,NA,1,1,0,0,0,15,114,0,0,741,0,0,0,460
2.01E+13,3,4,0,1,4,0,5,NA,1,72,2,100,100,5,27.4,21,112,NA,NA,NA,0,30,0,1,2,1,NA,NA,1,0,0,0,30,210,0,0,840,0,0,0,330
2.01E+13,3,1,4,3,12,0,1,NA,1,54,1,100,210,2,25.8,30,112,NA,1,40,0,45,0,1,NA,2,3,3,1,0,45,0,45,0,0,0,30,150,0,600,390
2.01E+13,3,4,0,2,12,0,1,NA,2,66,1,100,100,1,23.5,21,112,NA,1,35,0,5,15,3,2,2,NA,1,1,0,270,0,5,30,55,195,210,0,0,0,450
2.01E+13,1,2,4,1,13,0,1,NA,1,80,1,100,100,3,25.7,21,112,NA,NA,NA,0,150,0,1,NA,1,7,NA,1,0,0,0,150,290,0,0,350,0,0,0,500
2.01E+13,3,2,6,2,12,0,1,NA,2,66,1,110,100,4,33.7,40,216,NA,NA,NA,0,170,5,3,NA,3,4,NA,1,0,0,0,170,90,0,0,630,0,0,0,515
2.01E+13,4,1,3,4,11,3,1,5,1,36,1,100,100,1,22.5,30,216,4,1,40,3,45,10,1,2,1,3,NA,1,45,0,0,45,155,0,135,435,30,0,0,510
2.01E+13,3,2,2,3,16,1,1,16,2,47,2,100,100,2,25.8,40,318,1,1,40,1,120,5,1,NA,3,NA,4,1,0,0,0,120,155,0,0,520,0,0,0,585
2.01E+13,2,2,5,1,12,0,1,NA,1,63,2,100,100,3,26.5,40,318,NA,1,60,0,120,0,1,2,1,6,7,1,0,0,0,120,0,0,0,140,0,0,820,360
2.01E+13,1,2,7,4,13,1,1,11,3,18,2,200,100,4,28.3,16,111,3,2,9995,0,45,0,2,2,NA,5,4,1,0,0,0,45,0,0,0,369,0,0,345,550
